Chromosome	Position(bp)	Rate(cM/Mb)	Map(cM)
chr22	15287921	0.674364	0.0
chr22	15295878	0.431139	0.005365914348
chr22	15315947	0.4210559999999999	0.014018442939
chr22	15317165	0.410539	0.014531289147
chr22	15328680	0.415501	0.019258645732
chr22	15333044	0.415412	0.021071892096
chr22	15344142	0.340698	0.025682134472
chr22	15345928	0.340591	0.0262906211
chr22	15346041	0.340405	0.026329107883
chr22	15347088	0.288016	0.026685511918
chr22	15348810	0.248368	0.02718147547
chr22	15349641	0.21093	0.027387869278
chr22	15358931	0.161165	0.029347408978
chr22	15361817	0.13302	0.029812531168
chr22	15368063	0.115579	0.030643374088
chr22	15378975	0.113914	0.031904572136
chr22	15390754	0.113703	0.033246365142
chr22	15417212	0.113745	0.036254719116
chr22	15448393	0.114006	0.039801401961
chr22	15468022	0.114006	0.042039225735000005
chr22	15473563	0.119061	0.042670932981000005
chr22	15483280	0.133739	0.043827848718
chr22	15483489	0.134713	0.043855800169
chr22	15483775	0.1236349999999999	0.043894328087
chr22	15483867	0.1236349999999999	0.043905702507
chr22	15488723	0.1133579999999999	0.044506074067
chr22	15500519	0.111391	0.045843245035
chr22	15504377	0.111387	0.046272991513
chr22	15570842	1.663702	0.053676328468
chr22	15613137	1.67211	0.12404260455800001
chr22	15625605	2.584942	0.144890472038
chr22	15626110	2.747202	0.146195867748
chr22	15626358	3.611289	0.146877173844
chr22	15626583	4.159449	0.147689713869
chr22	15630768	4.234665	0.165097007934
chr22	15631891	4.323781	0.169852536729
chr22	15632380	4.413447	0.171966865638
chr22	15633390	4.413828	0.176424447108
chr22	15633548	4.413185	0.177121831932
chr22	15634151	4.413711	0.179782982487
chr22	15634409	4.413604	0.180921719925
chr22	15660546	4.40668	0.296280087673
chr22	15678426	3.666095	0.375071526073
chr22	15710441	4.410265	0.492441557498
chr22	15725362	4.406429	0.558247121563
chr22	15746539	4.406111	0.6515620684960001
chr22	15750531	4.396719	0.669151263608
chr22	15776929	4.396719	0.7852158517700001
chr22	15804783	4.39324	0.907682062796
chr22	15837334	4.347667	1.050686418036
chr22	15841148	4.333159	1.0672684199740001
chr22	15865626	4.328022	1.1733354859760001
chr22	15867926	4.328034	1.1832899365760001
chr22	15874060	4.328264	1.2098380971320002
chr22	15875637	4.324743	1.2166637694600002
chr22	15877903	4.311456	1.2264636370980002
chr22	15878525	4.29909	1.2291453627300002
chr22	15898469	4.299297	1.3148864136900003
chr22	15901035	4.298607	1.3259184097920003
chr22	15905670	4.3194757184065935	1.3458424532370004
chr22	15908582	4.420365	1.3584207665290005
chr22	15916614	4.418359	1.3939251382090005
chr22	15916940	4.250333951987997	1.3953655232430004
chr22	15918273	5.688363458480565	1.4010312184010005
chr22	15922801	5.685965	1.4267881281410006
chr22	15922837	5.683148000000001	1.4269928228810007
chr22	15922938	8.026921	1.4275668208290007
chr22	15923048	8.024772	1.4284497821390008
chr22	15923295	8.129606	1.4304319008230006
chr22	15924250	8.132625	1.4381956745530007
chr22	15924349	8.131967	1.4390008044280007
chr22	15924384	8.13152	1.4392854232730008
chr22	15925390	8.046346232994527	1.4474657323930007
chr22	15926669	4.274181116497263	1.4577570092250007
chr22	16370978	0.502016	3.356814146914783
chr22	16372046	0.495982	3.357350300002783
chr22	16373044	0.510451	3.357845290038783
chr22	16373740	0.602409	3.358200563934783
chr22	16374612	2.680401	3.358725864582783
chr22	16374641	2.691935	3.358803596211783
chr22	16374814	0.85877	3.359269300966783
chr22	16374956	0.417739	3.359391246306783
chr22	16375126	0.385155	3.359462261936783
chr22	16375526	0.344968	3.359616323936783
chr22	16377591	0.285113	3.360328682856783
chr22	16377625	0.224307	3.360338376698783
chr22	16378022	0.194746	3.360427426577783
chr22	16378306	0.179155	3.360482734441783
chr22	16381583	0.179703	3.361069825376783
chr22	16382408	2.247072	3.361218080351783
chr22	16384600	2.883600734754293	3.366143662175783
chr22	16389667	1.906357	3.380754867098783
chr22	16390714	2.539799940277534	3.382750822877783
chr22	16396407	2.3598001118884904	3.397209903937783
chr22	16396408	2.1798002834994463	3.3972122637378948
chr22	16397311	1.44267	3.3991806233938946
chr22	16397695	0.522005	3.3997346086738944
chr22	16398802	0.3873919183454203	3.4003124682088943
chr22	16406248	0.387302	3.4031969884328945
chr22	16407851	0.390984	3.4038178335388944
chr22	16408174	0.396414	3.4039441213708943
chr22	16409399	0.397306	3.404429728520894
chr22	16409570	0.397743	3.4044976678468943
